statue,statueLabel,statueType,statueTypeLabel,height,creationYear,countryLabel,materialLabel
http://www.wikidata.org/entity/Q11823918,Bust of Żeromski in Warsaw,http://www.wikidata.org/entity/Q241045,бюст,2,1987,Польша,бронза
http://www.wikidata.org/entity/Q16393617,статуя Микаэла Налбандяна,http://www.wikidata.org/entity/Q860861,скульптура,4.5,1937,Армения,гранит
http://www.wikidata.org/entity/Q16393617,статуя Микаэла Налбандяна,http://www.wikidata.org/entity/Q860861,скульптура,4.5,1965,Армения,гранит
http://www.wikidata.org/entity/Q16393617,статуя Микаэла Налбандяна,http://www.wikidata.org/entity/Q860861,скульптура,4.5,1937,Армения,бронза
http://www.wikidata.org/entity/Q16393617,статуя Микаэла Налбандяна,http://www.wikidata.org/entity/Q860861,скульптура,4.5,1965,Армения,бронза
http://www.wikidata.org/entity/Q16400495,памятник Вардану Мамиконяну,http://www.wikidata.org/entity/Q2065736,культурная ценность,17,1975,Армения,медь
http://www.wikidata.org/entity/Q16400495,памятник Вардану Мамиконяну,http://www.wikidata.org/entity/Q2065736,культурная ценность,17,1975,Армения,песчаник
http://www.wikidata.org/entity/Q16387606,Памятник Акопу Мегапарту,http://www.wikidata.org/entity/Q2065736,культурная ценность,6,1987,Армения,гранит
http://www.wikidata.org/entity/Q11823540,Zygmunt Berling monument in Warsaw,http://www.wikidata.org/entity/Q19860854,утраченное здание или строение,6,1985,Польша,известняк
http://www.wikidata.org/entity/Q11823540,Zygmunt Berling monument in Warsaw,http://www.wikidata.org/entity/Q19860854,утраченное здание или строение,6,1985,Польша,мрамор
http://www.wikidata.org/entity/Q16364215,скульптура «Материнство»,http://www.wikidata.org/entity/Q860861,скульптура,2,1974,Армения,шамот
http://www.wikidata.org/entity/Q4683664,Admiral David G. Farragut,http://www.wikidata.org/entity/Q860861,скульптура,20,1881,США,бронза
http://www.wikidata.org/entity/Q16395581,бюст Нельсона Степаняна в Ереване,http://www.wikidata.org/entity/Q2065736,культурная ценность,4,1950,Армения,базальт
http://www.wikidata.org/entity/Q16395581,бюст Нельсона Степаняна в Ереване,http://www.wikidata.org/entity/Q2065736,культурная ценность,4,1950,Армения,бронза
http://www.wikidata.org/entity/Q16375513,Памятник Габриэлю Сундукяну,http://www.wikidata.org/entity/Q860861,скульптура,4,1972,Армения,туф
http://www.wikidata.org/entity/Q4967183,Brigadier General Albert Pike,http://www.wikidata.org/entity/Q860861,скульптура,11,1901,США,бронза
