statue,statueLabel,height,inception,countryLabel,elevation,materialLabel
http://www.wikidata.org/entity/Q3203231,Rebellious Slave,215,1514-01-01T00:00:00Z,Франция,,мрамор
http://www.wikidata.org/entity/Q3204451,The Bird,,1994-01-01T00:00:00Z,Франция,,бронза
http://www.wikidata.org/entity/Q3205578,L'Été,,1910-01-01T00:00:00Z,Франция,,бронза
http://www.wikidata.org/entity/Q3206339,La Baigneuse drapée,1.79,1937-01-01T00:00:00Z,Франция,,бронза
http://www.wikidata.org/entity/Q3206340,La Baigneuse aux bras levés,,1921-01-01T00:00:00Z,Франция,,бронза
http://www.wikidata.org/entity/Q3208366,Céret War Memorial,,1922-01-01T00:00:00Z,Франция,,камень
http://www.wikidata.org/entity/Q3209857,Young Tarantine,74,1871-01-01T00:00:00Z,,,мрамор
http://www.wikidata.org/entity/Q3210771,La Montagne,,1925-01-01T00:00:00Z,Франция,,свинец
http://www.wikidata.org/entity/Q3210962,La Méditerranée,1.1,1905-01-01T00:00:00Z,Франция,,бронза
http://www.wikidata.org/entity/Q3211061,The Naiad of Vors,,,Франция,,
http://www.wikidata.org/entity/Q3211175,La Nuit,1.1,1909-01-01T00:00:00Z,Франция,,бронза
http://www.wikidata.org/entity/Q3211819,The Water Carrier,126,,Бельгия,,бронза
http://www.wikidata.org/entity/Q3212087,The Fourth Apple,,2011-01-01T00:00:00Z,Франция,,сталь
http://www.wikidata.org/entity/Q3212334,Q3212334,128,1938-01-01T00:00:00Z,Франция,,свинец
http://www.wikidata.org/entity/Q3220549,Le Botteleur,,1888-01-01T00:00:00Z,Франция,,бронза
http://www.wikidata.org/entity/Q3221344,Christ Carrying the Cross,,,Франция,,древесина
http://www.wikidata.org/entity/Q3223392,The Raval Cat,,1987-01-01T00:00:00Z,Испания,,бронза
http://www.wikidata.org/entity/Q3224763,"Sculpture of Jesus Christ on the Mount of Olives, Strasbourg Cathedral",,1498-01-01T00:00:00Z,Франция,,
http://www.wikidata.org/entity/Q3225720,The victorious Poilu,,1920-01-01T00:00:00Z,,,бронза
http://www.wikidata.org/entity/Q3225720,The victorious Poilu,,1920-01-01T00:00:00Z,,,чугун
http://www.wikidata.org/entity/Q3225815,Le Porteur de viande,,1991-01-01T00:00:00Z,Франция,,бронза
http://www.wikidata.org/entity/Q3241774,Winged Lion of Vulci,106,-0540-01-01T00:00:00Z,,,nenfro
http://www.wikidata.org/entity/Q3270088,Leda and the swan,,1864-01-01T00:00:00Z,,,мрамор
http://www.wikidata.org/entity/Q3275776,Penitent Magdalene,188,1453-01-01T00:00:00Z,,,древесина
http://www.wikidata.org/entity/Q3286934,Statue of Wilhelmina of the Netherlands,,1923-01-01T00:00:00Z,Суринам,,бронза
http://www.wikidata.org/entity/Q3291422,"Marie, Queen of Rodrigues",,,Маврикий,,
http://www.wikidata.org/entity/Q3298435,Q3298435,,-0450-01-01T00:00:00Z,,,pietra fetida
http://www.wikidata.org/entity/Q3304070,"De Ertepeller, Papendrecht",,1977-01-01T00:00:00Z,Нидерланды,,
http://www.wikidata.org/entity/Q3321157,Monolith of Tlaloc,,,Мексика,,
http://www.wikidata.org/entity/Q3323240,France,,1922-01-01T00:00:00Z,,,бронза
http://www.wikidata.org/entity/Q3323360,Monument du comte de Chambord,,1891-01-01T00:00:00Z,Франция,,
http://www.wikidata.org/entity/Q3323361,Monument to the Lion of Judah,,1930-01-01T00:00:00Z,Эфиопия,,бронза
http://www.wikidata.org/entity/Q3323363,Monument du général Joubert,,,Франция,,
http://www.wikidata.org/entity/Q3325871,Ninot,,,Испания,,
http://www.wikidata.org/entity/Q3335971,Emperor Napoleon,,1807-01-01T00:00:00Z,Франция,,мрамор
http://www.wikidata.org/entity/Q3344701,Notre-Dame de la Grand'Porte,,1500-01-01T00:00:00Z,Франция,,мрамор
http://www.wikidata.org/entity/Q3344702,Our Lady of Westminster,,,Великобритания,,
http://www.wikidata.org/entity/Q3344722,Notre-Dame du Guet,,,Франция,,камень
http://www.wikidata.org/entity/Q3344729,Notre-Dame du Rempart,,,Франция,,древесина
http://www.wikidata.org/entity/Q3344733,Notre-Dame du Try-au-Chêne,,1600-01-01T00:00:00Z,Бельгия,,древесина
http://www.wikidata.org/entity/Q3344733,Notre-Dame du Try-au-Chêne,,1600-01-01T00:00:00Z,Бельгия,,Полихромия
http://www.wikidata.org/entity/Q3358458,Ours blanc,163,1925-01-01T00:00:00Z,,,камень
http://www.wikidata.org/entity/Q3361505,Афина Веллетри,3.05,0100-01-01T00:00:00Z,,,каррарский мрамор
http://www.wikidata.org/entity/Q3361505,Афина Веллетри,3.05,0100-01-01T00:00:00Z,,,Полихромия
http://www.wikidata.org/entity/Q3366983,Partners,,1993-01-01T00:00:00Z,США,,
http://www.wikidata.org/entity/Q3374169,Drie Beeldjes,,,Нидерланды,,
http://www.wikidata.org/entity/Q3396027,Pomone,1.63,1910-01-01T00:00:00Z,Франция,,бронза
http://www.wikidata.org/entity/Q3401618,Premier Artiste,,1890-03-01T00:00:00Z,Франция,,бронза
http://www.wikidata.org/entity/Q3444314,Kiepenkerl,,1987-01-01T00:00:00Z,США,,нержавеющая сталь
http://www.wikidata.org/entity/Q3463880,John the Baptist,204,1878-01-01T00:00:00Z,Франция,,бронза
http://www.wikidata.org/entity/Q3463880,John the Baptist,204,1880-01-01T00:00:00Z,Франция,,бронза
http://www.wikidata.org/entity/Q3464578,Saint Veronica,,1629-01-01T00:00:00Z,,,каррарский мрамор
http://www.wikidata.org/entity/Q3473545,Larthia Seianti sarcophagus,,,,,
http://www.wikidata.org/entity/Q3473547,Q3473547,,,,,алебастр
http://www.wikidata.org/entity/Q3478794,Sentinelle des Rangiers,,,Швейцария,,
http://www.wikidata.org/entity/Q3481460,Monument of the Four Moors,,1626-01-01T00:00:00Z,Италия,,
http://www.wikidata.org/entity/Q3497570,Statue of Lichessol,,,Франция,,
http://www.wikidata.org/entity/Q3497572,Памятник Оливеру Кромвелю,,1899-01-01T00:00:00Z,Великобритания,,
http://www.wikidata.org/entity/Q3497575,Statue of David,5.14,1903-01-01T00:00:00Z,Франция,,каррарский мрамор
